Sentiment_Score,Sentiment_Description,Score_Frequency,Description_Frequency
-0.5,1 - Muito negativo,17,33
-0.5,1 - Muito negativo,17,33
-0.5,1 - Muito negativo,17,33
-0.296,2 - Negativo,11,12
-0.5,1 - Muito negativo,17,33
0.0,3 - Neutro,59,61
0.3182,4 - Positivo,1,1
-0.5,1 - Muito negativo,17,33
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
-1.0,1 - Muito negativo,12,33
0.0,3 - Neutro,59,61
-0.5,1 - Muito negativo,17,33
0.0,3 - Neutro,59,61
0.128,3 - Neutro,2,61
-0.5,1 - Muito negativo,17,33
-0.296,2 - Negativo,11,12
0.0,3 - Neutro,59,61
-1.0,1 - Muito negativo,12,33
-0.296,2 - Negativo,11,12
-1.0,1 - Muito negativo,12,33
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
-0.296,2 - Negativo,11,12
-1.0,1 - Muito negativo,12,33
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
-1.0,1 - Muito negativo,12,33
-0.5106,1 - Muito negativo,1,33
-0.5803,1 - Muito negativo,1,33
-1.0,1 - Muito negativo,12,33
0.0,3 - Neutro,59,61
-0.296,2 - Negativo,11,12
0.0,3 - Neutro,59,61
-1.0,1 - Muito negativo,12,33
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
-0.5267,1 - Muito negativo,2,33
0.0,3 - Neutro,59,61
-0.5,1 - Muito negativo,17,33
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
-0.5,1 - Muito negativo,17,33
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
-0.296,2 - Negativo,11,12
-0.5,1 - Muito negativo,17,33
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
-1.0,1 - Muito negativo,12,33
0.0,3 - Neutro,59,61
-0.296,2 - Negativo,11,12
0.0,3 - Neutro,59,61
-1.0,1 - Muito negativo,12,33
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
-0.296,2 - Negativo,11,12
0.0,3 - Neutro,59,61
-0.5,1 - Muito negativo,17,33
0.0,3 - Neutro,59,61
0.128,3 - Neutro,2,61
0.0,3 - Neutro,59,61
-0.296,2 - Negativo,11,12
-0.5,1 - Muito negativo,17,33
-0.296,2 - Negativo,11,12
-1.0,1 - Muito negativo,12,33
0.0,3 - Neutro,59,61
-0.5,1 - Muito negativo,17,33
0.0,3 - Neutro,59,61
-0.296,2 - Negativo,11,12
-0.5,1 - Muito negativo,17,33
0.0,3 - Neutro,59,61
-1.0,1 - Muito negativo,12,33
0.0,3 - Neutro,59,61
-0.5,1 - Muito negativo,17,33
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
-0.5,1 - Muito negativo,17,33
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
-0.5,1 - Muito negativo,17,33
0.0,3 - Neutro,59,61
-0.5267,1 - Muito negativo,2,33
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
0.0,3 - Neutro,59,61
-1.0,1 - Muito negativo,12,33
0.0,3 - Neutro,59,61
-0.1926,2 - Negativo,1,12
